id;lookup;lookup_type;lookup_order;lookup_notes;voided
00000000-0000-0000-0000-000000000001;program Frozen;Electronics hacking Savings Account;59457;Shirt Pakistan Rupee;true
00000000-0000-0000-0000-000000000002;Garden Berkshire;Swiss Franc;88635;Gorgeous;false
00000000-0000-0000-0000-000000000003;ADP Buckinghamshire Personal Loan Account;Cook Islands;42487;eco-centric Iraqi Dinar;false
00000000-0000-0000-0000-000000000004;GB;French Polynesia Direct;39483;Tasty;false
00000000-0000-0000-0000-000000000005;methodology;Savings Account;36034;back-end Loop Business-focused;true
00000000-0000-0000-0000-000000000006;purple Parks Soft;Credit Card Account Tuna;605;SAS;false
00000000-0000-0000-0000-000000000007;Concrete cross-media;client-driven National;46251;Home Associate Communications;false
00000000-0000-0000-0000-000000000008;Home Loan Account;high-level Automotive Personal Loan Account;21573;4th generation;false
00000000-0000-0000-0000-000000000009;Fish Georgia;installation;90015;matrices HTTP;false
00000000-0000-0000-0000-000000000010;deposit bandwidth;mobile India;65135;Well Computers Avon;true
