id;country;country_code;region;con_state;state_code;district;city;area;pincode
00000000-0000-0000-0000-000000000001;Malawi;DJ;productize Grocery haptic;payment olive Ghana;Pants;multi-byte Soft;South Claud;virtual;e-enable feed
00000000-0000-0000-0000-000000000002;Sudan;MH;Frozen Forward Sports;explicit Gold;harness port n;District;Candiceberg;Representative Car Granite;compressing
00000000-0000-0000-0000-000000000003;Afghanistan;TV;Concrete leading-edge;SCSI;Concrete sky b;Bolivar Fuerte backing up;Boganmouth;Forward Refined Frozen Cheese Mali;Checking Accou
00000000-0000-0000-0000-000000000004;Hong Kong;SE;help-desk;Cambridgeshire;Illinois Busin;RAM Money Market Account;Lowetown;Fantastic Plastic Computer invoice;Soft Tactics r
00000000-0000-0000-0000-000000000005;Palestinian Territory;LU;turn-key Licensed;payment Bedfordshire JBOD;Cambridgeshire;Awesome Granite Bacon;Heathcotetown;Key Fresh auxiliary;connect TCP Ma
00000000-0000-0000-0000-000000000006;Uruguay;PK;Concrete yellow;methodologies;bandwidth CSS ;synthesize copying;Dachfurt;intranet payment;Fresh generati
00000000-0000-0000-0000-000000000007;Falkland Islands (Malvinas);KI;Granite utilisation;Gardens Automotive;Rapid viral ex;protocol Zambia;Heathcoteborough;approach compressing;next-generatio
00000000-0000-0000-0000-000000000008;Sweden;GP;Tasty connect;architect Movies;bifurcated XML;Rwanda Franc payment eyeballs;Judahland;Shoes;International 
00000000-0000-0000-0000-000000000009;United Arab Emirates;WS;purple;salmon Auto Loan Account;web-readiness ;azure;Carolburgh;Dong THX grow;brand Gorgeous
00000000-0000-0000-0000-000000000010;Haiti;SO;input;Missouri;quantify Michi;intermediate;East Rubieshire;Internal;Designer
